filename,width,height,class,xmin,ymin,xmax,ymax
imgPalm114_JPG.rf.9b6ee149d21328571c271de94bee702e.jpg,800,600,PalmSan,235,82,641,589
imgPalm33_JPG.rf.a5498f9489bbf272433346dbfa7399da.jpg,800,600,PalmAnom,75,12,680,600
imgPalm145_JPG.rf.94c0cb6662abafd2f356d08342326392.jpg,800,600,PalmAnom,139,12,658,575
imgPalm168_JPG.rf.a4943a9b757a9685c225d2b72ea64485.jpg,800,600,PalmSan,97,0,709,576
imgPalm89_JPG.rf.960852dbdf5ed0f73db4067d13be8076.jpg,800,600,PalmAnom,355,73,643,417
imgPalm89_JPG.rf.960852dbdf5ed0f73db4067d13be8076.jpg,800,600,PalmSan,0,3,278,599
imgPalm713_JPG.rf.9d4594862f44f037a83d08df508617c9.jpg,800,600,PalmSan,207,9,720,493
imgPalm58_JPG.rf.9fa5077f8c2e4a4ea9a3617907eee927.jpg,800,600,PalmSan,199,12,757,570
imgPalm124_JPG.rf.999baeb6b95627c0a6d3a8bc1e04409e.jpg,800,600,PalmSan,157,27,636,505
imgPalm11_JPG.rf.9bd47b0f2beb73d4941efd1ddbb27140.jpg,800,600,PalmAnom,213,19,691,594
imgPalm20_JPG.rf.99f99040e883513b5c37c1d0481ac20a.jpg,800,600,PalmSan,135,16,712,591
imgPalm193_JPG.rf.9f6e5cfe1fd91df07177c7b525f46a01.jpg,800,600,PalmSan,229,13,641,487
imgPalm97_JPG.rf.99021ea3cffb21a72cfca1e6e24e19bc.jpg,800,600,PalmSan,226,36,763,565
imgPalm228_JPG.rf.941a739e53e388047ba4524163b43702.jpg,800,600,PalmSan,155,52,669,519
imgPalm879_JPG.rf.9480c03db10bdcdc9b021ce6685ee177.jpg,800,600,PalmSan,97,0,642,439
imgPalm967_JPG.rf.9d2c382ab9f05285fd573b7b56abbe40.jpg,800,600,PalmAnom,422,5,800,576
imgPalm967_JPG.rf.9d2c382ab9f05285fd573b7b56abbe40.jpg,800,600,PalmSan,2,0,499,455
imgPalm133_JPG.rf.a1e3f980a473ca58df2e6e7b7a7ef257.jpg,800,600,PalmSan,60,53,546,592
imgPalm64_JPG.rf.9783f1c2147afb1e61287e3879bf448b.jpg,800,600,PalmSan,129,13,613,560
imgPalm117_JPG.rf.9eb7d5fe31d67af3476f38ee57caa768.jpg,800,600,PalmSan,200,89,694,554
imgPalm1_JPG.rf.a7df4db5f465ed63c8eb18f9add2625a.jpg,800,600,PalmSan,135,7,765,594
imgPalm151_JPG.rf.95775722420118197b6d69413e113b9b.jpg,800,600,PalmSan,95,7,691,600
imgPalm215_JPG.rf.a839e75df946a6c200373b792b2bd7af.jpg,800,600,PalmAnom,187,23,553,499
imgPalm215_JPG.rf.a839e75df946a6c200373b792b2bd7af.jpg,800,600,PalmSan,539,96,800,444
imgPalm220_JPG.rf.976cc46ef5bea5016dfdc85ffe9dd067.jpg,800,600,PalmSan,0,197,492,590
imgPalm220_JPG.rf.976cc46ef5bea5016dfdc85ffe9dd067.jpg,800,600,PalmAnom,419,25,800,417
